time,action,price,units,balance
2023-06-09,BUY,3862.38,2.238618807482164,8646.39650964296
2023-06-11,SELL,4091.97,2.238618807482164,17806.75751129575
2023-06-22,BUY,3010.23,2.9577071372114005,8903.378755647875
2023-06-24,SELL,3187.32,2.9577071372114005,18330.537868224514
2023-06-30,BUY,2621.84,3.4957392266928022,9165.268934112257
2023-07-04,SELL,3031.81,3.4957392266928022,19763.686078991763
2023-07-11,BUY,2517.63,3.9250577088356433,9881.843039495881
2023-07-15,SELL,2812.01,3.9250577088356433,20919.1445673188
2023-07-16,BUY,2830.11,3.6958182839746154,10459.5722836594
2023-07-17,SELL,2825.99,3.6958182839746154,20903.917795988822
2023-07-22,BUY,2473.09,4.22627518529225,10451.958897994411
2023-07-23,SELL,2541.33,4.22627518529225,21192.318814633167
2023-07-26,BUY,2283.82,4.63966486295618,10596.159407316583
2023-08-10,SELL,2738.93,4.63966486295618,23303.876690413155
2023-08-22,BUY,2019.87,5.768657559747201,11651.938345206578
2023-08-24,SELL,2154.66,5.768657559747201,24081.43404289148
2023-08-31,BUY,1781.18,6.759966438790992,12040.71702144574
2023-09-02,SELL,1845.67,6.759966438790992,24517.384278529113
2023-09-07,BUY,1510.73,8.114416301565836,12258.692139264558
2023-09-10,SELL,1769.23,8.114416301565836,26614.960892483883
2023-09-13,BUY,1757.17,7.573245870486032,13307.480446241942
2023-09-17,SELL,1857.49,7.573245870486032,27374.708918211043
2023-09-28,BUY,1249.85,10.951197711009739,13687.354459105522
2023-09-29,SELL,1218.95,10.951197711009739,27036.316908940844
2023-09-30,BUY,1261.94,10.712203792946116,13518.158454470422
2023-10-07,SELL,1482.95,10.712203792946116,29403.821069219866
2023-10-12,BUY,1299.35,11.314819359379639,14701.910534609933
2023-10-13,SELL,1308.79,11.314819359379639,29510.63296397241
2023-10-15,BUY,1283.12,11.499560822047982,14755.316481986205
2023-10-24,SELL,1443.05,11.499560822047982,31349.757726242548
2023-10-28,BUY,1467.17,10.683750937601827,15674.878863121274
2023-11-05,SELL,1844.22,10.683750937601827,35378.066017265315
2023-11-06,BUY,1896.75,9.325969689538768,17689.033008632658
2023-11-11,SELL,1949.6,9.325969689538768,35870.94351535744
2023-11-15,BUY,1763.77,10.168826863864744,17935.47175767872
2023-11-22,SELL,2165.27,10.168826863864744,39953.72750119913
2023-11-25,BUY,2135.89,9.352945961917312,19976.863750599565
2023-11-28,SELL,2173.18,9.352945961917312,40302.498856119026
2023-12-01,BUY,2082.89,9.674658492795833,20151.249428059513
2023-12-06,SELL,2377.17,9.674658492795833,43149.55735737899
2023-12-11,BUY,2155.01,10.011451769917306,21574.77867868949
2023-12-17,SELL,2382.94,10.011451769917306,45431.46755929624
2023-12-19,BUY,2357.32,9.636253788050887,22715.73377964812
2023-12-25,SELL,2828.92,9.636253788050887,49975.92484574103
2024-01-05,BUY,2313.91,10.799020887964751,24987.962422870514
2024-01-07,SELL,2123.0,10.799020887964751,47914.28376801968
